date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-04 23:03:18,h3artstruck,,0,0,2,"i cant do this i'm so sick of my mf school corona virus isn't gonna fucking kill u if i see one more person cover up their face or say anything related to the corona virus near me i'll spit on you mf BET",,,,1224830819371573249,https://twitter.com/h3artstruck/status/1224830819371573249
2020-02-03 05:46:19,danymazari,,0,0,0,"Ok but any got that corona virus near by just wondering for research purposes ",,,,1224207469162852352,https://twitter.com/danymazari/status/1224207469162852352
2020-02-02 01:39:31,choosecolby,SamGolbach,0,0,14,"mention corona virus near me in london and i’ll personally put u on a flight home sam i have no immune system",,,,1223782970345107456,https://twitter.com/choosecolby/status/1223782970345107456
2020-02-01 18:10:56,thesmalldee,,0,0,1,"nae corona virus near me unyway hiy",,,,1223670080757796866,https://twitter.com/thesmalldee/status/1223670080757796866
2020-02-01 08:56:42,MnguniReymon,CapeTown_Butler,1,0,0,"The outbreak corona virus is likely to be from the lab . They’ve been working research on the virus near where later the outbreak started. Most virus are human errors, man made . Can be used as population control by the rich. But this one went wrong and strong",,,,1223530603859128320,https://twitter.com/MnguniReymon/status/1223530603859128320
2020-01-31 19:40:34,aker22_,,0,0,0,"Gg Corona virus near in sweden i gonna die",,,,1223330250559496192,https://twitter.com/aker22_/status/1223330250559496192
2020-01-31 07:43:15,namoonfairy,,0,0,0,"im so scared rn theres a patient suspected with corona virus near our home moots stay safe always :((",,,,1223149729015463938,https://twitter.com/namoonfairy/status/1223149729015463938
2020-01-30 23:52:06,inyanggg_,,0,0,0,"we literally had one case of corona virus near orange county earlier this week so idk why nobody’s panicking about this shit smh",,,,1223031163599478784,https://twitter.com/inyanggg_/status/1223031163599478784
2020-01-30 18:32:25,BigMaq2K,SallyIsADog,1,0,0,"Corona Virus near you?",,,,1222950710184239108,https://twitter.com/BigMaq2K/status/1222950710184239108
2020-01-30 17:58:05,mcudyl,,0,0,8,"two people are getting tested for the corona virus near me uh",,,,1222942070362583042,https://twitter.com/mcudyl/status/1222942070362583042
